runner_id,race_id,meet_id,jockey_win_rate,jockey_total_races,jockey_roi,jockey_track_win_rate,jockey_track_races,jockey_win_rate_7d,jockey_races_7d,jockey_win_rate_30d,jockey_races_30d,jockey_win_rate_90d,jockey_races_90d,trainer_win_rate,trainer_total_races,trainer_roi,trainer_track_win_rate,trainer_track_races,trainer_win_rate_7d,trainer_races_7d,trainer_win_rate_30d,trainer_races_30d,trainer_win_rate_90d,trainer_races_90d,horse_win_rate,horse_total_races,horse_avg_finish,horse_days_since_last_race,horse_career_earnings,race_distance,race_distance_furlongs,surface_dirt,surface_turf,surface_synthetic,race_type_maiden,race_type_claiming,race_type_allowance,race_type_stakes,race_purse,race_min_claim_price,race_max_claim_price,is_graded_stakes,field_size,post_position,post_position_normalized,weight_carried,ml_odds_decimal,ml_odds_prob,ml_odds_rank,is_favorite,odds_category_heavy_favorite,odds_category_favorite,odds_category_second_tier,odds_category_mid_price,odds_category_longshot,odds_category_extreme_longshot,odds_category_unknown,target_win,target_finish_position
4353.0,473.0,87.0,0.1,0,0.0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,5.0,999,0.0,7.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,60000.0,75000.0,75000.0,0.0,7.0,1.0,0.14285714285714285,122.0,3.0,0.25,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
4354.0,473.0,87.0,0.1,0,0.0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,5.0,999,0.0,7.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,60000.0,75000.0,75000.0,0.0,7.0,2.0,0.2857142857142857,122.0,1.8,0.35714285714285715,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
4355.0,473.0,87.0,0.1,0,0.0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,5.0,999,0.0,7.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,60000.0,75000.0,75000.0,0.0,7.0,3.0,0.42857142857142855,122.0,4.0,0.2,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
4356.0,473.0,87.0,0.1,0,0.0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,5.0,999,0.0,7.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,60000.0,75000.0,75000.0,0.0,7.0,4.0,0.5714285714285714,115.0,30.0,0.03225806451612903,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
4357.0,473.0,87.0,0.1,0,0.0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,5.0,999,0.0,7.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,60000.0,75000.0,75000.0,0.0,7.0,5.0,0.7142857142857143,122.0,5.0,0.16666666666666666,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
4358.0,473.0,87.0,0.1,0,0.0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,5.0,999,0.0,7.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,60000.0,75000.0,75000.0,0.0,7.0,6.0,0.8571428571428571,122.0,4.0,0.2,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
4359.0,473.0,87.0,0.1,0,0.0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,5.0,999,0.0,7.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,60000.0,75000.0,75000.0,0.0,7.0,7.0,1.0,122.0,12.0,0.07692307692307693,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
4360.0,474.0,87.0,0.1,0,0.0,0.1,0,0.1,0,0.1,0,0.1,0,0.09090909090909091,1,-1.0,0.1,0,0.09090909090909091,1,0.09090909090909091,1,0.09090909090909091,1,0.1,0,5.0,999,0.0,6.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,60000.0,50000.0,75000.0,0.0,7.0,1.0,0.14285714285714285,123.0,4.5,0.18181818181818182,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
4361.0,474.0,87.0,0.1,0,0.0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,5.0,999,0.0,6.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,60000.0,50000.0,75000.0,0.0,7.0,2.0,0.2857142857142857,123.0,4.0,0.2,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
4362.0,474.0,87.0,0.1,0,0.0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,5.0,999,0.0,6.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,60000.0,50000.0,75000.0,0.0,7.0,3.0,0.42857142857142855,123.0,5.0,0.16666666666666666,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
